model,gen,type,ISC,IG,LOD,AID,FLOOR,RHO,ICS
Qwen3.5-0.8B-Base,2026,base/mlx,0.1861764646361079,0.34310655185400285,0.10111224491399384,-0.04577154245779865,0.5608887641183999,0.5727193774414345,0.4246933495937756
Qwen3.5-2B-it,2026,instruct/mlx,0.20019963259793933,0.3222553690450593,0.0603005406198676,-0.03051934205473805,0.5113476517915682,0.5663320302396377,0.4441584701277273
Gemma3-1B-it,2025,instruct/mlx,0.20685599482848283,0.31644684875459317,0.0796835708603283,-0.028923111858807898,0.6666720826961035,0.5067652310094904,0.45500744646905256
Qwen3.5-9B-it,2026,instruct/mlx,0.21662123529903865,0.28638629407615435,0.010021768083503097,-0.006525698349898001,0.5401058709086359,0.5228488083129637,0.47816773329530393
Qwen3-4B-Base,2025,base/torch,0.18847059578948788,0.2797381743507892,0.0504272558060484,-0.00815125881841065,0.8252903690926355,0.45346476777501554,0.47933782780784473
Qwen3.5-4B-it,2026,instruct/mlx,0.22172612210468295,0.289621932515734,0.011399258563496498,-0.007308626763845701,0.5231062471339037,0.5164832873332761,0.4793826033856661
Gemma4-E2B-Base,2026,base/torch,0.21280279840238775,0.28362943659313566,0.0246553753511997,-0.00476564845289705,0.8121924160163261,0.450603874990959,0.48982969260283926
Gemma3-12B-pt,2025,base/mlx,0.257550715456631,0.27131425881345506,-0.005917421375290249,-0.001892239426234149,0.5563882818568788,0.5008906618866129,0.4978741953411238
Gemma3-4B-pt,2025,base/mlx,0.2535944077353338,0.26978389159644495,0.008084405709482947,-0.00529504644687775,0.682385296077757,0.47647651291039556,0.49879091021442645
Gemma4-12B-it,2026,instruct/mlx,-0.0056335876420827,0.1865456240465494,0.0099401230903271,-0.0017023211501329,0.9487482281269671,0.2061928728279302,0.5196647224619084
Gemma4-12B-base,2026,base/mlx,0.26036454960051547,0.24382679417747122,-0.03292329314007815,0.014219037279615598,0.5305087392776267,0.4384809281564228,0.5250398315372631
