lang,model,cohort,ISC,IG,LOD,AID,FLOOR,RHO,ICS
EN,BGE-M3,modern,0.22913317218091406,0.3471869438268981,0.06891744973530134,-0.04076681528447085,0.4304711479422904,0.6313426760576222,0.4281838574553243
EN,E5-large,modern,0.192869074627869,0.2941231250022977,0.0910932221526462,-0.017951665542615798,0.8028920767410168,0.5979259011646028,0.4383550321531413
EN,XLM-R-large,modern,0.09994826995488829,0.4017030036461188,0.07139454792519985,-0.00332995952847525,0.9348236953670934,0.5049634625603138,0.4237114592589562
EN,DistilBERT-ML,paper-era,0.02123537631321685,0.45806608258635734,0.1810452893484592,-0.0444482700456533,0.7435513131797493,0.5923059252527835,0.34907396181599265
EN,mBERT,paper-era,0.0854597966219782,0.44125238756135887,0.20508073244927005,-0.0452302381085838,0.7766645257418875,0.630132840277672,0.3527527196450187
EN,mSBERT,paper-era,0.19061257836208556,0.438043228794201,0.29530328488248075,-0.23402911179844543,0.20480449935674538,0.6233121458685558,0.3199849614036805
PT,BGE-M3,modern,0.2155109657211139,0.30769266135287165,0.05541652045789295,-0.034697386354413745,0.41698260485137617,0.5704349494088414,0.4494538896294188
PT,E5-large,modern,0.1273634775066063,0.3004316378686984,0.2008266831076717,-0.0347228991949252,0.8259222995959596,0.518115779451472,0.4146532955767678
PT,XLM-R-large,modern,-0.058179241089169456,0.37732008946699674,0.2192324318848457,-0.009300587852902449,0.9468539615540252,0.3881415192036293,0.40427623083684117
PT,DistilBERT-ML,paper-era,0.004072660847205851,0.3086361684066431,0.19078102064563457,-0.0399811606145086,0.7785880136809484,0.3778670624318963,0.41944920074490866
PT,mBERT,paper-era,0.1246100093400779,0.3079570423088641,0.19076613947161794,-0.0372097901349694,0.7951223435801378,0.41528433052274355,0.43467854138037654
PT,mSBERT,paper-era,0.32170935796253286,0.2955014984828635,0.22755263774102225,-0.17752768305692324,0.24954448287279685,0.4684571239491555,0.43053408294651363
