model,level,group,synonym,random,gap,ordinary_gap,ordinary_calibrated_gap,ordinary_aligned_synonym,ordinary_aligned_random
BERT-large,sentence_sim,idiomatic_nc,0.9495573602616787,0.9241367615759373,0.025420598685741425,0.042694831266999245,0.5954022520142889,0.21712804417385462,-0.37827420784043425
BERT-large,sentence_sim,compositional_nc,0.9823076650500298,0.9379829280078411,0.044324737042188644,0.042694831266999245,1.0381757165169834,0.9842069578611243,-0.05396875865585899
BERT-large,sentence_sim,ordinary_two_word_control,0.979879442602396,0.9314029812812805,0.048476461321115494,0.042694831266999245,1.1354175642002158,0.9273330371645311,-0.2080845270356846
BERT-large,sentence_sim,single_word_control,0.9860844500362873,0.9491712488234043,0.036913201212882996,0.042694831266999245,0.8645824357997842,1.0726669628354688,0.2080845270356846
BERT-large,contextual_span_sim,idiomatic_nc,0.7525242455303669,0.6647406406700611,0.08778360486030579,0.23238331452012062,0.3777534761546107,0.3917335114932255,0.013980035338614808
BERT-large,contextual_span_sim,compositional_nc,0.9314702562987804,0.717318806797266,0.21415144950151443,0.23238331452012062,0.9215440013141408,1.161780238548234,0.24023623723409332
BERT-large,contextual_span_sim,ordinary_two_word_control,0.8934393413364887,0.6874833628535271,0.20595597848296165,0.23238331452012062,0.8862769640250105,0.998124276239465,0.11184731221445439
BERT-large,contextual_span_sim,single_word_control,0.8943111151456833,0.6355004645884037,0.2588106505572796,0.23238331452012062,1.1137230359749895,1.0018757237605351,-0.11184731221445439
BERT-large,isolated_phrase_sim,idiomatic_nc,0.6527268625795841,0.6766297668218613,-0.023902904242277145,0.11748187243938446,-0.2034603615516088,-0.4025902848463517,-0.19912992329474288
BERT-large,isolated_phrase_sim,compositional_nc,0.8652359433472157,0.6863523386418819,0.1788836047053337,0.11748187243938446,1.5226485668895844,1.406276703354547,-0.1163718635350374
BERT-large,isolated_phrase_sim,ordinary_two_word_control,0.8081416375935078,0.6802287437021732,0.12791289389133453,0.11748187243938446,1.088788348664872,0.9202927420147576,-0.16849560665011432
BERT-large,isolated_phrase_sim,single_word_control,0.8268699534237385,0.7198191024363041,0.10705085098743439,0.11748187243938446,0.911211651335128,1.0797072579852425,0.16849560665011432
EmbeddingMagibu-200M,sentence_sim,idiomatic_nc,0.996433787047863,0.9963237978518009,0.00010998919606208801,0.003059081733226776,0.03595497134562318,0.31563411052089346,0.27967913917527026
EmbeddingMagibu-200M,sentence_sim,compositional_nc,0.9987166114151478,0.9949225932359695,0.003794018179178238,0.003059081733226776,1.240247404300714,1.0618790841315886,-0.17836832016912538
EmbeddingMagibu-200M,sentence_sim,ordinary_two_word_control,0.9980937950313091,0.9948185905814171,0.003275204449892044,0.003059081733226776,1.0706495398007223,0.858283221662855,-0.21236631813786738
EmbeddingMagibu-200M,sentence_sim,single_word_control,0.9989608414471149,0.9961178824305534,0.002842959016561508,0.003059081733226776,0.9293504601992776,1.141716778337145,0.21236631813786738
EmbeddingMagibu-200M,contextual_span_sim,idiomatic_nc,0.9476246014237404,0.9493909776210785,-0.0017663761973381042,0.07179195247590542,-0.024604097484755408,0.849612138501582,0.8742162359863375
EmbeddingMagibu-200M,contextual_span_sim,compositional_nc,0.9674803167581558,0.8922403752803802,0.07523994147777557,0.07179195247590542,1.0480275139895012,1.1261851337976683,0.07815761980816703
EmbeddingMagibu-200M,contextual_span_sim,ordinary_two_word_control,0.9565489552915096,0.904615193605423,0.051933761686086655,0.07179195247590542,0.7233925237444475,0.973920693429997,0.2505281696855495
EmbeddingMagibu-200M,contextual_span_sim,single_word_control,0.9602935239672661,0.8686433807015419,0.09165014326572418,0.07179195247590542,1.2766074762555526,1.0260793065700031,-0.2505281696855495
EmbeddingMagibu-200M,isolated_phrase_sim,idiomatic_nc,0.9522615633904934,0.9568455442786217,-0.004583980888128281,0.025589561089873314,-0.17913479922648312,0.8425192769610136,1.0216540761874966
EmbeddingMagibu-200M,isolated_phrase_sim,compositional_nc,0.9735292382538319,0.9413581043481827,0.032171133905649185,0.025589561089873314,1.257197565548728,1.6736267269342306,0.41642916138550273
EmbeddingMagibu-200M,isolated_phrase_sim,ordinary_two_word_control,0.9667741656303406,0.9454472325742245,0.021326933056116104,0.025589561089873314,0.8334231674085226,1.4096490604253469,0.5762258930168243
EmbeddingMagibu-200M,isolated_phrase_sim,single_word_control,0.9458086863160133,0.9159564971923828,0.029852189123630524,0.025589561089873314,1.1665768325914774,0.590350939574653,-0.5762258930168243
