model,idiom_syn,idiom_rnd,idiom_gap,comp_gap,ordword_gap,ordphrase_gap,ordinary_gap,OCG_idiom,OCG_comp
mBERT,0.809617242125916,0.8219494115953196,-0.012332169469403631,0.12275865571141387,0.1426199872079259,0.10546822916903653,0.12404410818848122,-0.09941761563286244,0.9896371339530763
DistilBERT-ML,0.7518893255652525,0.7625282615610964,-0.010638935995843979,0.1516049927981461,0.13630487974849492,0.09406658280339752,0.11518573127594622,-0.0923633151258698,1.3161785849581629
mSBERT,0.2500042564254118,0.19708002404618508,0.05292423237922672,0.578217676884763,0.5084457845418493,0.5566978152167387,0.532571799879294,0.09937483056974075,1.0857084002867115
XLM-R-large,0.9461559017049666,0.9465886684459164,-0.00043276674094983036,0.04863914470816999,0.05101077873317772,0.023189948447895348,0.037100363590536534,-0.011664757405779694,1.311015310927485
BGE-M3,0.5019491409302805,0.4049219349882863,0.09702720594199421,0.3871971689067202,0.2141921961202673,0.2938959661140916,0.25404408111717947,0.38193059060974455,1.5241337928598422
E5-large,0.8315456455411813,0.8041191946398158,0.027426450901365418,0.11973061903278515,0.09270549776175674,0.08321942089464063,0.08796245932819868,0.31179722703106766,1.3611558833985709
Qwen3-Emb-0.6B,0.6295378743426301,0.559599837658971,0.06993803668365906,0.32437169064152094,0.2660912765665857,0.2675115703280412,0.26680142344731345,0.2621351707198446,1.215779460432962
Qwen3-Emb-4B,0.6692267825446928,0.5301950502599613,0.13903173228473154,0.37719055506473587,0.2770591429037843,0.29112132775637156,0.28409023533007793,0.48939285830501617,1.3277139026847817
mE5-large-instruct,0.8817653653614494,0.8402415529395132,0.04152381242193626,0.13096321348981133,0.11644076840089046,0.11295516972177255,0.1146979690613315,0.3620274426980705,1.1418093499090856
Qwen3-4B-Base,0.8593539712565033,0.8057033159451259,0.05365065531137736,0.11086458046139314,0.14826554089870714,0.08509179393749056,0.11667866741809885,0.45981546154558867,0.950170094625165
Qwen3.5-0.8B-Base,0.6625104088498875,0.5709515243637979,0.09155888448608962,0.3005809282079288,0.29226839331483145,0.21104393059435067,0.25165616195459106,0.36382532331002704,1.1944111595493765
Qwen3.5-2B-it,0.6367153200042244,0.5154848171550346,0.12123050284918979,0.31035431410337233,0.2823700437519593,0.20711411883846742,0.24474208129521335,0.49533983779013,1.2680872552073137
Qwen3.5-4B-it,0.6489113182545536,0.5023050005051342,0.14660631774941946,0.30899966066085827,0.2832550931747433,0.2006091930955095,0.2419321431351264,0.6059811476457487,1.2772162336786834
Qwen3.5-9B-it,0.6781117930172227,0.5396236051976822,0.13848818781954053,0.29866312490249824,0.26614204725497637,0.1912534694448781,0.22869775834992723,0.6055511379680499,1.3059293937001253
Gemma3-1B-it,0.7517130979173328,0.678042077353288,0.07367102056404473,0.2503875944777544,0.2891684533439296,0.16453096576957194,0.22684970955675077,0.3247569534384373,1.103759819516609
Gemma3-4B-pt,0.7990256669895395,0.6898616427364734,0.10916402425306604,0.2226721664770711,0.2535394236026135,0.15582400366140892,0.2046817136320112,0.5333355008416997,1.087894773430538
Gemma3-12B-pt,0.7129960065147058,0.5582315291765867,0.15476447733811916,0.2985556494653484,0.32992907566506247,0.21691623377352787,0.27342265471929517,0.5660265331598273,1.091919942668451
Gemma4-E2B-Base,0.8780305658672665,0.8118779487611181,0.06615261710614839,0.1394301731741603,0.14764114050958932,0.09360555285644678,0.12062334668301805,0.5484229954254924,1.1559136519447106
Gemma4-12B-it,0.9463705728977694,0.9457189456606334,0.0006516272371359655,0.011122106638012608,0.0037303503611003652,0.002822575730498156,0.0032764630457992605,0.19888130219305053,3.3945466445202896
Gemma4-12B-base,0.6999622197467972,0.5144377229161023,0.18552449683069483,0.30540343690844374,0.30948657490782133,0.23586463516098977,0.2726756050344056,0.6803853861708156,1.1200247886858403
