model,group,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
BERT-large-EN,compositional_nc,component,0.979599129408598,0.8760816939175129,0.7454476468265057
BERT-large-EN,compositional_nc,random,0.9379829280078411,0.717318806797266,0.6863523386418819
BERT-large-EN,compositional_nc,synonym,0.9823076650500298,0.9314702562987804,0.8652359433472157
BERT-large-EN,compositional_nc,word_by_word,0.9726819694042206,0.8792309276759624,0.8137149885296822
BERT-large-EN,idiomatic_nc,component,0.9612546414136887,0.809030469506979,0.7172195687890053
BERT-large-EN,idiomatic_nc,random,0.9241367615759373,0.6647406406700611,0.6766297668218613
BERT-large-EN,idiomatic_nc,synonym,0.9495573602616787,0.7525242455303669,0.6527268625795841
BERT-large-EN,idiomatic_nc,word_by_word,0.9540775045752525,0.8169797509908676,0.7355742454528809
BERT-large-EN,ordinary_two_word_control,component,0.9791196025907993,0.8974266797304153,0.7178628221154213
BERT-large-EN,ordinary_two_word_control,random,0.9314029812812805,0.6874833628535271,0.6802287437021732
BERT-large-EN,ordinary_two_word_control,synonym,0.979879442602396,0.8934393413364887,0.8081416375935078
BERT-large-EN,ordinary_two_word_control,word_by_word,0.9713514782488346,0.8622652180492878,0.8102915473282337
BERT-large-EN,single_word_control,random,0.9491712488234043,0.6355004645884037,0.7198191024363041
BERT-large-EN,single_word_control,related,0.9817405678331852,0.8439740724861622,0.8129620440304279
BERT-large-EN,single_word_control,synonym,0.9860844500362873,0.8943111151456833,0.8268699534237385
DistilBERT-ML,compositional_nc,component,0.9919138140976429,0.9027133360505104,0.8761441856622696
DistilBERT-ML,compositional_nc,random,0.965395987033844,0.752546101808548,0.7515968047082424
DistilBERT-ML,compositional_nc,synonym,0.9888883419334888,0.904151163995266,0.8987405598163605
DistilBERT-ML,compositional_nc,word_by_word,0.9832180738449097,0.8595012575387955,0.8534621931612492
DistilBERT-ML,idiomatic_nc,component,0.9906176067888737,0.9023885317146778,0.8833945654332638
DistilBERT-ML,idiomatic_nc,random,0.966854814440012,0.7625282406806946,0.7469529882073402
DistilBERT-ML,idiomatic_nc,synonym,0.9689985811710358,0.7518893480300903,0.7450618706643581
DistilBERT-ML,idiomatic_nc,word_by_word,0.9759538508951664,0.8114637732505798,0.802233450114727
DistilBERT-ML,ordinary_two_word_control,component,0.9886887520551682,0.9126339666545391,0.8775709345936775
DistilBERT-ML,ordinary_two_word_control,random,0.9530310481786728,0.7512543313205242,0.7403021343052387
DistilBERT-ML,ordinary_two_word_control,synonym,0.9757956229150295,0.8453209139406681,0.8289447538554668
DistilBERT-ML,ordinary_two_word_control,word_by_word,0.9738246239721775,0.8359936214983463,0.8222487829625607
DistilBERT-ML,single_word_control,random,0.9658999480307102,0.6888467743992805,0.7155006527900696
DistilBERT-ML,single_word_control,related,0.9861923940479755,0.8224934823811054,0.8230354934930801
DistilBERT-ML,single_word_control,synonym,0.9866816774010658,0.8251516558229923,0.811103593558073
mBERT,compositional_nc,component,0.9875238351523876,0.9149010591208935,0.8794851452112198
mBERT,compositional_nc,random,0.9598771519958973,0.8119053617119789,0.814987525343895
mBERT,compositional_nc,synonym,0.9869549833238125,0.93466392531991,0.9179355278611183
mBERT,compositional_nc,word_by_word,0.982195284217596,0.9069169647991657,0.8788035474717617
mBERT,idiomatic_nc,component,0.9864510297775269,0.9189858213067055,0.9162318035960197
mBERT,idiomatic_nc,random,0.9621329978108406,0.8219494223594666,0.8322630971670151
mBERT,idiomatic_nc,synonym,0.9623756669461727,0.8096172362565994,0.8339333720505238
mBERT,idiomatic_nc,word_by_word,0.9765733182430267,0.874091848731041,0.8672146499156952
mBERT,ordinary_two_word_control,component,0.9845398664474487,0.9208922311663628,0.8965862803161144
mBERT,ordinary_two_word_control,random,0.9427946358919144,0.774540051817894,0.8191129006445408
mBERT,ordinary_two_word_control,synonym,0.9723817780613899,0.880008302628994,0.8800704218447208
mBERT,ordinary_two_word_control,word_by_word,0.9717386811971664,0.8735719844698906,0.8700648136436939
mBERT,single_word_control,random,0.9570123329758644,0.7548645511269569,0.7867269963026047
mBERT,single_word_control,related,0.9837092012166977,0.8915641866624355,0.8687762394547462
mBERT,single_word_control,synonym,0.985028974711895,0.8974845074117184,0.8602855317294598
mSBERT,compositional_nc,component,0.9066996611654758,0.7235562987625599,0.7235562987625599
mSBERT,compositional_nc,random,0.6406249720603228,0.14709495240822432,0.14709495240822432
mSBERT,compositional_nc,synonym,0.8947037495672703,0.7253126539289951,0.7253126539289951
mSBERT,compositional_nc,word_by_word,0.8884988315403461,0.6833071652799845,0.6833071652799845
mSBERT,idiomatic_nc,component,0.9184791035950184,0.7477534674108028,0.7477534674108028
mSBERT,idiomatic_nc,random,0.6701687462627888,0.1970800231210887,0.1970800231210887
mSBERT,idiomatic_nc,synonym,0.7626312784850597,0.2500042379833758,0.2500042379833758
mSBERT,idiomatic_nc,word_by_word,0.8374754562973976,0.5550995133817196,0.5550995133817196
mSBERT,ordinary_two_word_control,component,0.8908386081457138,0.7879670895636082,0.7879670895636082
mSBERT,ordinary_two_word_control,random,0.5443614069372416,0.15812991722486908,0.15812991722486908
mSBERT,ordinary_two_word_control,synonym,0.8645187430083752,0.7148277796804905,0.7148277796804905
mSBERT,ordinary_two_word_control,word_by_word,0.7912354543805122,0.5981403794139624,0.5981403794139624
mSBERT,single_word_control,random,0.7489147447049618,0.3137037558481097,0.3137037558481097
mSBERT,single_word_control,related,0.9099229574203491,0.7401924319565296,0.7401924319565296
mSBERT,single_word_control,synonym,0.9516213424503803,0.8221495524048805,0.8221495524048805
